Program,URL,Department,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Section 8 Housing Assistance Payments Program,https://www.federalgrantswire.com/section-8-housing-assistance-payments-programspecial-allocations.html#.XiXb7r9OnOQ,HUD,105166471,10667133,57043720,60640030,1095750018,117380833,240435648,38582731,139979294,325056162,207302005,36197540,21551970,577672564,179819032,59477542,58767316,129046708,98216735,68582141,223678897,788733014,331668364,185190261,114726005,147560972,20721705,28336416,21786564,52666448,516325128,30258104,1408700000,152033463,11372193,485379682,75421958,60702906,429812058,156946539,127661708,24595734,172583229,344366513,27284469,27660019,228720630,94646688,62780166,164479067,12407645
Federal Transit Formula Grants,https://www.transit.dot.gov/rural-formula-grants-5311,DOT,48224000,33048000,181445000,41284000,1596175000,153922000,167144000,35253000,345375000,296826000,168592000,6521000,37243000,665084000,119485000,58156000,26496000,69044000,85653000,51010000,220035000,566673000,176776000,76481000,29580000,97769000,11684000,25446000,55591000,14669000,770682000,39814000,299120000,90229000,14892000,222568000,46181000,113268000,524110000,26786000,26271000,15798000,88321000,434390000,104188000,26249000,156964000,264325000,18298000,114621000,13441000
Head Start,https://www.acf.hhs.gov/ohs,HHS,138342659,47340666,199421814,92697747,1200242695,172072623,76158235,11434785,45650774,399740214,238272098,29896148,41161335,371806665,125618412,65445831,66020658,149869079,167549300,36797239,95843650,154097995,319939525,119066495,184825716,162752305,49933828,56385370,25981452,17691391,163918065,83579234,630497247,230710654,32767105,344002607,148431016,136355820,298934211,29760333,117131953,43579885,161432932,691648948,63114177,18673824,182745243,185682699,66369419,138770605,18771129
"Supplemental Nutrition Program for Women, Infants, and Children",https://www.fns.usda.gov/wic,USDA,110726000,24579000,126264000,69722000,1128854000,76029000,46870000,16156000,15049000,369903000,218824000,32427000,30409000,228504000,111356000,44907000,48302000,98220000,126211000,18223000,116299000,83451000,194539000,102073000,83985000,92870000,15536000,33063000,51976000,11521000,150723000,45670000,497580000,203600000,10828000,160016000,64258000,77785000,202895000,18364000,94654000,18641000,128617000,530495000,44740000,13591000,113209000,149191000,34834000,88759000,8532000
Title IV-E Foster Care,https://www.acf.hhs.gov/cb/resource/title-iv-e-reviews-fact-sheet,HHS,11111295,20051757,154248243,40566216,1327713848,82262554,64458110,6036288,46395403,182737396,87827583,21586644,11210634,192514554,109791925,22550899,27590212,28976965,35526694,23346038,60606942,87766833,112017932,55285488,23993996,84582087,11552507,20597837,50998704,10512985,88267146,17205501,312685259,75990525,13687613,253550127,64039738,119121770,165566842,10763224,52788642,6007465,42769956,196404646,25195875,14273473,59163394,86876649,48016698,58161918,2818566
Health Care Centers,https://www.hrsa.gov/opa/eligibility-and-registration/health-centers/fqhc/index.html,HHS,76252531,64271013,78356580,48176840,595808808,101601456,56312777,14120176,26667214,221182529,104440174,30146449,43395994,185439292,65959746,37544007,39045360,67996717,86862549,39537963,59082224,124192419,115932474,37972966,69160638,99807788,38793385,20714113,20144281,24466295,78549911,69063161,244628342,119487006,9145028,130380561,52085980,87805982,116277037,24905169,80447823,17777497,80307481,238396254,35387205,20637961,81261095,125908671,63723293,41471901,8572527
School Breakfast Program,https://www.fns.usda.gov/sbp/school-breakfast-program,USDA,78780000,12053000,93091000,53083000,503354000,49267000,30634000,13805000,11318000,256395000,191256000,11598000,19375000,139126000,78399000,27177000,31271000,88082000,79253000,12571000,70118000,57783000,109900000,50994000,64091000,75560000,9177000,17717000,35695000,5505000,95779000,44852000,220054000,134649000,5300000,122279000,61272000,39415000,110896000,10036000,80698000,8368000,110632000,566292000,22057000,5700000,82496000,55763000,40251000,51664000,3850000
Rural Electrification Loans and Loan Guarantees,https://www.rd.usda.gov/programs-services/all-programs/electric-programs,USDA,111161000,16462000,39135000,21692000,23826000,395866000,0,0,0,89004000,740469000,0,0,0,20732000,80225000,53818000,334815000,0,0,0,0,47652000,78631000,138676000,83277759,15606000,0,0,0,0,0,0,277600000,65975000,53600000,41207000,0,18000000,0,302421000,95109000,17000000,90480000,0,0,445462000,30782000,0,94000000,0
Public and Indian Housing,https://www.hud.gov/program_offices/public_indian_housing,HUD,121380000,8679000,20602000,32142000,116698000,26979000,63716000,10996000,44664000,119396000,111525000,24041000,1261000,240899000,43698000,6192000,19478000,54621000,57915000,13809000,91858000,147191000,63053000,45936000,25777000,40630000,5061000,13944000,15057000,11164000,156398000,10538000,864290000,109548000,3259000,169618000,34892000,18714000,283543000,32658000,47271000,2743000,101947000,150441000,3579000,3472000,66208000,45835000,16190000,18525000,1875000
Low Income Home Energy Assistance,https://www.acf.hhs.gov/ocs/programs/liheap,HHS,43520240,17502723,21961058,27865516,177201621,49021093,80714423,12577088,10390990,68915812,54497132,5488162,20006139,166338155,75306576,53375506,31948552,46728640,42244020,38899683,72273422,148816832,157930156,113774946,29059752,73321900,23465936,29369995,9894393,26408240,127139764,17999041,364390669,86724574,25731223,147150960,36853315,35704456,203485100,26009725,34596411,20462890,55844854,114671046,23728393,18987983,83949144,58728879,28876514,102413788,9542675
Child and Adult Care Food Program,https://www.fns.usda.gov/cacfp/child-and-adult-care-food-program,USDA,52539000,9203000,51169000,57462000,429089000,25792000,18032000,16187000,8663000,249853000,119258000,7103000,7731000,146784000,56735000,27690000,33199000,37380000,99968000,10099000,56678000,65393000,68388000,63810000,43299000,51130000,10928000,32315000,10284000,5224000,79319000,33856000,266965000,95185000,10934000,87679000,57903000,35408000,113446000,9600000,33066000,8958000,69526000,361048000,28381000,6447000,46230000,47468000,16217000,40233000,4930000
Vocational Rehabilitation Grants to the States,https://www2.ed.gov/programs/rsabvrs/index.html,ED,62250495,10393765,85597356,46998379,296559132,42317015,26628439,12465455,16116707,166759973,61910030,13379742,17527397,112743914,59138577,30840851,19553864,55555504,36550000,16797381,41899699,55204631,108435063,51909354,44589605,67534887,13700185,20390205,15433006,10829085,61927213,24815546,155358277,101429636,10393765,107875343,37741368,51293087,144407083,12910845,58825332,10393765,59971149,243139628,29595573,11990345,77318917,55616244,32471393,65053321,9227983
Child Care Mandatory and Matching Funds,https://www.federalgrantswire.com/child-care-mandatory-and-matching-funds-of-the-child-care-and-development-fund.html#.XiXdPr9OnOQ,HHS,41247000,7850000,56572000,21327000,293025000,38671000,35623000,9814000,7393000,133897000,93002000,12159000,12683000,123961000,61743000,24971000,26333000,39634000,39260000,8704000,53850000,75850000,81143000,52561000,22847000,56117000,8316000,21356000,17635000,10372000,71319000,19767000,197294000,121360000,6469000,128975000,46781000,38761000,115576000,11341000,34454000,6586000,71427000,222678000,33591000,6603000,63808000,78400000,17279000,53692000,5998000
Unemployment Insurance Administration,https://www.dol.gov/general/topic/unemployment-insurance,DOL,29926000,24727000,34772000,20673000,375334000,37844000,51744000,9835000,10989000,92718000,58519000,15864000,18983000,158078000,44896000,29445000,18346000,28783000,28243000,14269000,56863000,64940000,127098000,46450000,21689000,36981000,10296000,15440000,28294000,13944000,112338000,15188000,206225000,59754000,8424000,87545000,25239000,55779000,135940000,15039000,28909000,5993000,36511000,135628000,27036000,8590000,43332000,92408000,13990000,63527000,14032000
Federal Transit - Capital Investment Grants,https://www.transit.dot.gov/CIG,DOT,137000,13729971,10982234,2046244,635418619,247144237,4100000,1483742,0,142106474,4249311,1744000,2824280,209207504,1337500,9049069,1080000,0,5775890,0,18143219,2928913,23480924,2911920,0,885346,1032050,0,0,0,54868200,4138050,607560190,176691614,1677277,40878500,2605200,102064145,255903604,510350,2936948,2686000,5770950,17448332,2454500,584400,7737386,31610379,0,0,1000000
Child Care and Development Block Grant,https://www.acf.hhs.gov/occ/ccdf-reauthorization,HHS,50468000,5151000,68258000,32512000,303730000,34568000,17428000,7176000,4377000,158564000,114452000,9869000,16250000,95660000,63181000,23641000,25461000,48476000,48228000,8567000,33757000,33555000,83473000,36892000,37942000,52031000,7827000,15531000,24415000,5954000,48936000,22850000,123273000,91174000,4484000,93745000,39423000,30673000,80442000,6438000,48030000,6808000,62216000,287679000,31913000,3591000,53214000,48074000,17027000,41639000,3541000
Adoption Assistance,https://www.childwelfare.gov/topics/adoption/adopt-assistance/,HHS,7671170,18846073,125248775,21413396,497502550,15657501,41507860,1883763,12091371,165355084,41385459,14755187,7547794,79787829,51594475,46523146,21349994,38312775,17583239,16278617,22423791,22767575,103466279,27511307,10846443,43972816,8434702,25740207,34635275,3141020,64065790,18942497,116787583,52259459,6104885,154409281,69970005,51299298,120664274,7272794,17223317,4068515,49776125,126703881,9620438,9109704,49851703,39864241,30038631,47724609,763016
Community Facilities Loans and Grants,https://www.rd.usda.gov/programs-services/community-facilities-direct-loan-grant-program,USDA,57429948,822069,18376100,48081600,84668579,38129458,48307839,18085480,25750000,6309050,94278825,25028486,1742850,15065200,5586991,183812224,54644700,177938772,79001136,23420050,13380560,16383906,79893000,60836493,108402231,52943326,24825130,36823096,16073586,38859173,15579900,450440,45972327,169295665,64500500,72272563,26492900,2262022,34837940,5634005,104815198,41635670,87064937,72560601,53457380,12643300,82273588,38033528,24982383,18412834,256342
Supporting Effective Instruction State Grants,https://oese.ed.gov/offices/office-of-formula-grants/school-support-and-accountability/improving-teacher-quality-state-grants/,ED,35651018,10640022,34785949,21631379,277477463,24963497,21211154,10640020,12667408,101017766,58710294,10640020,10656572,98039040,38132388,17558833,17921787,35229997,51228512,10640018,32653649,41181292,89647471,30679537,33456670,38745684,10640020,10913258,11181742,10640020,51449314,17762636,207421113,48028542,10640020,84330019,25767212,21691343,91965059,10640020,28028469,10640020,38128704,183532901,14635123,10640019,50134748,36823489,19358440,37088674,10639761
Crime Victim Assistance,https://www.ovc.gov/about/victimsfund.html,DOJ,33244704,5476300,46514392,20570144,264297285,37271902,24699013,6874658,5030151,137108287,69338035,10147586,11652588,87163624,45110084,21551984,20121575,30320735,31976052,9458354,40977191,46287672,67368330,37494424,20665359,41497921,7461053,13278442,19981431,9466979,60868131,14551569,133904016,68178534,5600938,78762963,26858542,27651313,86776184,7618402,33495173,6285230,44979475,185614610,20689525,4718903,56993066,48821061,12927595,39393093,4449780
Community Development Block Grants/Entitlement Grants,https://www.hudexchange.info/programs/cdbg-entitlement/,HUD,18606250,1606172,38998014,7082834,329020582,25282054,23464785,4353853,13778139,107967091,39549043,12205032,4037874,122994870,32479308,11537173,10138465,15898471,24079726,5705352,37845564,61816381,80680948,30945912,3474468,36474230,1818403,6580657,17553066,3292828,75078882,6016885,242054996,27713901,1302532,96173347,11783583,19614587,132117621,10208726,15795169,1255829,20291193,155604467,14881734,724881,34034616,40136072,6166801,32025125,684721
Public Housing Capital Fund,https://www.hud.gov/hudprograms/phcapfund,HUD,58683000,2036000,20030000,17283000,74369000,14048000,24669000,4402000,14356000,54630000,60348000,9202000,1009000,116674000,23684000,4868000,11180000,32528000,38698000,5832000,29587000,55329000,34933000,30856000,16475000,27637000,2866000,8775000,5811000,5392000,65785000,6050000,378730000,51236000,2405000,76667000,15936000,8874000,119163000,15930000,21804000,1781000,51813000,80021000,2884000,1860000,35204000,25002000,8379000,17279000,2179000
Block Grants for the Prevention and Treatment of Substance Abuse,https://www.samhsa.gov/grants/block-grants,HHS,23089486,5889074,40187732,13524497,254414759,28777345,18212225,6967796,6967796,111379297,57152217,8469866,8535838,67645777,32246086,13093348,11899663,20378373,25026431,6967796,34079985,39845084,56052853,24696066,13803562,26548475,6967796,7641241,16890047,6967796,48064193,9565114,111830061,44991909,6533547,64535736,17149341,20578346,59100201,7598476,23717773,6041710,31978247,144708674,16588581,6459874,41979903,37784663,8432680,27197983,4197559
Water and Waste Disposal Systems for Rural Communities,https://www.rd.usda.gov/programs-services/water-waste-disposal-loan-grant-program,USDA,23568371,37246303,5810000,31542488,9305900,4713000,20962000,10125000,0,28117320,45239000,16022232,25803107,73132300,85042100,48122000,14919000,40714000,34811664,29119000,14431000,11900863,64744000,46764884,46818559,49054710,47063800,13545100,20567589,10186418,17202000,1942000,27407230,52014800,15339320,53029500,36202125,16551707,54938900,8089000,73616300,16340000,35351979,83940100,9048346,18557004,50954000,15081100,29892248,57199095,6299000
Social Services Block Grant,https://www.acf.hhs.gov/ocs/programs/ssbg,HHS,23961910,3640366,33261842,14657526,191732260,26464591,17772025,4623088,3255745,98297450,49893342,7014384,8076270,63645969,32596609,15353039,14349449,21807927,22975140,6572282,29530830,33330644,48967028,26965173,14794447,29961617,5057744,9296948,14028655,6556094,44165621,10305301,97570743,49135460,3653954,57289481,19162360,19617883,63184601,5213857,23878428,4215738,32361886,133200657,14541570,3095990,41142148,34892677,9142895,28449475,2886437
Rural Rental Assistance Payments,https://www.rd.usda.gov/programs-services/multi-family-housing-rental-assistance,USDA,36851627,6793849,18328754,26379177,108032705,15606894,8724349,8061135,0,67680847,37076211,10974656,19218044,29827867,22801371,27775283,13273592,26275377,46649945,39012468,18789398,12584769,36440499,22747230,52413632,26658886,8409590,8413614,10766261,14488592,12184584,18504354,32075984,87950922,6937457,30971857,22317611,28022225,33889200,3569557,38247800,16441467,33291146,59375232,9137509,11110509,32692454,35857764,16840276,17410595,6091574
Business and Industry Loans,https://www.rd.usda.gov/programs-services/business-industry-loan-guarantees,USDA,18597000,19430000,25695000,2499000,35379000,37691000,2224000,1856000,0,102991000,47457000,6486000,40138000,432000,10498000,46278000,14997000,18064000,68627000,4880000,430000,0,31965000,27483000,12248000,46533000,10500000,31223000,27990000,5000000,0,14123000,18613000,41927000,18088000,44707000,29400000,86287000,26410000,0,47279000,50897000,20642000,48356000,23741000,12000000,46492000,20180000,6340000,16942000,109000
Career and Technical Education - Basic Grants to States,https://www2.ed.gov/about/offices/list/ovae/pi/cte/index.html,ED,19175065,4214921,25508411,11389791,119693808,16094229,9493026,4632078,4160433,62643494,38590316,5496906,6394303,40259027,25005195,11963946,10239910,17905647,21041701,5484372,15177222,17802672,37154147,16684637,13363550,21324789,5165733,6816893,9767368,5496906,22375964,8074607,51322979,36069243,4214921,42750001,15094180,13546508,40722778,5496906,18402725,4216063,23156626,92298374,12555265,4004816,23974781,20522876,8428617,20241685,4199852
Homeland Security Grant Program,https://www.dhs.gov/homeland-security-grant-program-hsgp,DHS,4708211,4427695,23888566,3734500,190718235,6665023,3969338,3734500,57404711,18170265,12135844,3734500,3729280,84775583,3872674,3627108,3720675,3978000,3979774,4147357,9104643,21099793,12594385,9575284,1786919,6864978,4444188,3330325,6696500,2134746,28888000,6434500,257229105,8444852,4160189,10750859,4416037,6799000,30994986,3661609,3707751,3734500,3963744,78181414,3734500,3981689,7445500,13015974,3613665,3967570,3625255
WIOA Dislocated Worker Formula Grants,https://www.dol.gov/agencies/eta/dislocated-workers,DOL,15302706,2299690,23270847,8041251,165674751,13477656,13789355,2198084,3625845,62577792,36999252,1934001,2608337,57705690,17603041,4356027,4692230,16048106,9703302,3554242,17790548,21039342,39655269,8243923,11219513,18347631,1681408,1986165,13512393,2330007,34884621,6664680,68276319,31732286,594331,33400311,5866582,13807125,37223657,5473951,13142450,893873,21862291,55008304,2990434,823490,17647332,20083489,5068810,15595810,733198
Home Investment Partnerships Program,https://www.hud.gov/program_offices/comm_planning/affordablehousing/programs/home/,HUD,13345170,3568935,14796836,7957142,107650376,14055437,17036983,4850048,3730426,39999122,26511522,3016838,4079225,40194840,18239537,8803935,7539153,13169215,10756587,4482845,16046131,27070238,37639261,9711957,7114918,14177750,7320575,4597362,3200326,1031190,29651651,5317900,113500081,23858222,3379722,33472005,9528291,13984612,61971119,732518,11187573,3380713,17420167,63830217,6140693,3407339,20013587,18607152,7824173,16942630,0
State Community Development Block Grant,https://www.hud.gov/program_offices/comm_planning/communitydevelopment/programs,HUD,21904212,2592884,10578395,16412081,27834660,8517211,12162864,2063710,0,24108644,37464404,0,7561311,26552917,28353870,21688760,13771304,23319211,19892244,10789352,7205995,29771920,30766406,16995275,23315139,20789141,5791383,9944180,2434790,8099926,6227296,10477460,45961285,43901389,3665003,41292727,12828337,12055779,37464741,4974585,18871096,5190066,25265266,60979766,4614650,6418887,16811481,11319386,12520351,24713128,2797710
WIOA Youth Activities,https://www.dol.gov/agencies/eta/youth/wioa-formula,DOL,13242811,2443616,20668458,7839730,128788366,11182905,10313963,2139306,3064227,49787759,30301333,2139306,3012381,40003397,17064726,5089743,5166437,12961737,12548488,3208693,14375433,15629525,29709018,8629664,10193683,16472508,2437697,2311700,9540579,2139306,24898651,5917399,54033982,25235370,2380801,28162375,6572387,11441241,29627611,3879607,14636640,2560341,18853852,51888988,3693166,2139306,15728252,19035891,5349299,13319468,2173191
WIOA Adult Activities,https://www.doleta.gov/wioa/,DOL,11443717,2042848,19243532,7675668,121608341,11378260,9324007,1770206,2302707,45525701,26942539,2046448,3127913,41165194,15035918,3346560,4670775,14467424,9611637,3053723,12206067,15263770,29838284,8050163,9238109,14094483,3065280,2028448,9292490,2028449,23672436,5792559,53205992,26122876,2768409,27613880,6934601,10554128,29235262,3700958,11940454,3113924,17905239,54245856,3405634,2028449,13198828,16336037,4399686,12773738,2028449
Employment Service/Wagner-Peyser Funded Activities,https://www.doleta.gov/performance/results/wagner-peyser_act-PY2002-PY2005.cfm,DOL,9474618,7660792,13836152,5802992,86004109,12415523,10687323,2194506,2387682,40550461,21035343,2625025,8982337,29145545,13638225,6617617,6255330,8998639,9710427,3980773,16054682,17077361,21949650,19884589,6095961,12976484,5327132,5884898,6627492,3029576,20108765,5989058,40562897,20575679,5406353,24641120,7326874,8717268,27298958,2354472,9987777,4948881,13253132,51106438,6720115,2499791,16963579,14981703,5746074,12546854,3947029
Community Services Block Grant,https://www.acf.hhs.gov/ocs/programs/csbg,HHS,13132186,3756915,7268890,9677776,63858548,6189433,8980715,3756915,13693414,20684329,19545166,3756915,3756915,33621110,10363229,7702858,6209380,12398813,16708755,3756915,9766001,18040327,26366171,8964764,11320148,19694885,3756915,4961048,3756915,3756915,19498072,4099540,62172172,18948352,4201979,27743863,9500910,5700794,30532767,3963409,10946881,3711851,14021238,34272629,3671408,3756915,11394801,8957923,7967538,8659777,3756915
"Special Programs for the Aging, Title III, Part C, Nutrition Services",https://acl.gov/programs/health-wellness/nutrition-services,HHS,10105139,3348608,14206264,6292232,68705000,9654267,7813313,3348608,3348608,48838753,17449824,3348608,3348608,25682336,12953006,7348435,6027061,9003690,8800307,3359823,11378627,14501087,21061620,10778522,5890047,12776802,3348608,4002880,5505841,3348608,18269345,4277275,42395149,19931291,3348608,24784836,7682138,8760086,31087029,3348608,10370870,3348608,13443155,43239708,4097715,3348608,15799296,13844851,4833321,12041031,3348608
Cooperative Extension Service,https://www.usda.gov/topics/rural/cooperative-research-and-extension-services,USDA,17919631,2052057,4008024,12286135,10269362,4627804,2955944,5396564,1330170,11380343,16766228,1782215,3632748,12157605,12108563,10634540,9829440,15907820,10864490,3304179,6295082,3829442,13449830,13627154,13165497,16919473,5173200,6783433,1856403,2146012,4048850,3357238,14463963,22579619,4829855,18566953,11182915,4795544,17167885,1701595,7577008,4783752,16701163,26246745,3143707,2399454,13597841,6812636,9191218,10947369,2224339
Native American Employment and Training,https://www.dol.gov/general/topic/training/indianprograms,DOL,353807,61192,12879028,292392,5892810,715383,0,0,0,1162176,0,2975236,0,0,215748,0,192881,0,447515,195717,0,244468,801625,726310,328911,659560,974103,363635,464361,0,0,2405715,470929,1379585,605373,465666,1968769,428043,856953,1603439,227565,1754952,212625,1778983,498832,74480,231352,1863823,0,719840,0
Low Income Housing Tax Credit,https://www.huduser.gov/portal/datasets/lihtc.html,Other,130397849,19837908,182854319,79988990,1049246700,146246773,96608038,25378917,18084085,544847436,274177716,38341477,44336136,345749925,177702069,83828917,78111673,118871079,125568687,35692772,161303474,182632278,266614285,147397108,80248960,163241059,27642600,50901649,77500605,35755863,240857362,55974169,532771774,269936799,20291666,311986242,104954471,107970134,343843308,28384499,131515175,22957682,177167935,738025583,80238745,16786224,224910402,192277754,49455511,154829976,15755242
New Markets Tax Credit,https://www.cdfifund.gov/programs-training/Programs/new-markets-tax-credit/Pages/default.aspx,Other,40538271,19303912,51526915,36983325,318063783,39015874,30132572,8247129,68759290,93548237,70010958,10996454,11447505,119058045,36380590,27824677,15055248,60411982,188444385,31520659,71123446,149291822,89604153,93197746,72883767,145762885,20005608,21369081,13827564,17386550,89732950,21487543,235191338,73069690,4972469,192238646,60096062,73585481,150902471,31134845,62966426,10063235,44884912,134602277,25069091,18198107,52602882,96604859,10801669,138983897,1088718
HUBZones Program,https://www.sba.gov/federal-contracting/contracting-assistance-programs/hubzone-program,Other,250116414,149424034,103013059,9438982,973260759,44242526,1699693,4300586,484270915,324873259,282651988,120598094,100870320,80601547,22735979,17222084,23993527,109671262,165783870,6793941,494222213,83611270,128195162,11474721,66706437,50537077,26596631,29591055,36841343,28954774,28859798,115337795,161038674,157474572,6432182,101688596,358166765,68986542,59686559,8386691,142628102,20926497,147927369,395004040,19057333,4765207,829013730,42030701,10486455,28570584,7600637
