County,State,COUNTY_STATE,2019 County Designation,2018 County Designation,Specialty,2019 Distance (miles),2019 Time (minutes),2018 Distance (miles),2018 Time (minutes),Reason for Change,Time change,Distance change
Corozal,PR,"Corozal, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Florida,PR,"Florida, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Guanica,PR,"Guanica, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Guayama,PR,"Guayama, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Hatillo,PR,"Hatillo, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Isabela,PR,"Isabela, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Lajas,PR,"Lajas, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Lares,PR,"Lares, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Luquillo,PR,"Luquillo, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Manati,PR,"Manati, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Maunabo,PR,"Maunabo, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Moca,PR,"Moca, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Morovis,PR,"Morovis, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Naguabo,PR,"Naguabo, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Orocovis,PR,"Orocovis, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Patillas,PR,"Patillas, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Penuelas,PR,"Penuelas, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Rincon,PR,"Rincon, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
San German,PR,"San German, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Utuado,PR,"Utuado, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Villalba,PR,"Villalba, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Yauco,PR,"Yauco, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Rheumatology,130,145,40,60,County Change,85,90
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Vascular Surgery,130,145,40,60,County Change,85,90
Jackson,IL,"Jackson, IL",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Jackson,IL,"Jackson, IL",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Christian,KY,"Christian, KY",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Rapides,LA,"Rapides, LA",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Rapides,LA,"Rapides, LA",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Allergy and Immunology,110,125,30,45,County Change,80,80
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Chiropractor,110,125,30,45,County Change,80,80
Kalawao,HI,"Kalawao, HI",CEAC,Metro,ENT/Otolaryngology,110,125,30,45,County Change,80,80
Kalawao,HI,"Kalawao, HI",CEAC,Metro,"Gynecology, OB/GYN",110,125,30,45,County Change,80,80
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Nephrology,110,125,30,45,County Change,80,80
Kalawao,HI,"Kalawao, HI",CEAC,Metro,"Physiatry, Rehabilitative Medicine (see Notes)",110,125,30,45,County Change,80,80
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Aibonito,PR,"Aibonito, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Anasco,PR,"Anasco, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Camuy,PR,"Camuy, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Cayey,PR,"Cayey, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Ceiba,PR,"Ceiba, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Ciales,PR,"Ciales, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Comerio,PR,"Comerio, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Corozal,PR,"Corozal, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Florida,PR,"Florida, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Guanica,PR,"Guanica, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Guayama,PR,"Guayama, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Hatillo,PR,"Hatillo, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Isabela,PR,"Isabela, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Lajas,PR,"Lajas, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Lares,PR,"Lares, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Luquillo,PR,"Luquillo, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Manati,PR,"Manati, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Maunabo,PR,"Maunabo, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Moca,PR,"Moca, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Morovis,PR,"Morovis, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Naguabo,PR,"Naguabo, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Orocovis,PR,"Orocovis, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Patillas,PR,"Patillas, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Penuelas,PR,"Penuelas, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Rincon,PR,"Rincon, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
San German,PR,"San German, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Utuado,PR,"Utuado, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Villalba,PR,"Villalba, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Yauco,PR,"Yauco, PR",Micro,Metro,Cardiac Catheterization Services,120,160,40,60,County Change,100,80
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Aibonito,PR,"Aibonito, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Anasco,PR,"Anasco, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Camuy,PR,"Camuy, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Cayey,PR,"Cayey, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Ceiba,PR,"Ceiba, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Ciales,PR,"Ciales, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Comerio,PR,"Comerio, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Corozal,PR,"Corozal, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Florida,PR,"Florida, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Guanica,PR,"Guanica, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Guayama,PR,"Guayama, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Hatillo,PR,"Hatillo, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Isabela,PR,"Isabela, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Lajas,PR,"Lajas, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Lares,PR,"Lares, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Luquillo,PR,"Luquillo, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Manati,PR,"Manati, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Maunabo,PR,"Maunabo, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Moca,PR,"Moca, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Morovis,PR,"Morovis, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Naguabo,PR,"Naguabo, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Orocovis,PR,"Orocovis, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Patillas,PR,"Patillas, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Penuelas,PR,"Penuelas, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Rincon,PR,"Rincon, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
San German,PR,"San German, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Utuado,PR,"Utuado, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Villalba,PR,"Villalba, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Yauco,PR,"Yauco, PR",Micro,Metro,Cardiac Surgery Program,120,160,40,60,County Change,100,80
Christian,KY,"Christian, KY",Micro,Metro,Cardiac Catheterization Services,120,160,45,70,County Change,90,75
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Acute Inpatient Hospitals,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Dermatology,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Diagnostic Radiology,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Gastroenterology,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Mammography,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Neurology,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Occupational Therapy,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,"Oncology - Medical, Surgical",100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Outpatient Infusion/Chemotherapy,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Physical Therapy,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Podiatry,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Psychiatry,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Pulmonology,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Speech Therapy,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Surgical Services (Outpatient or ASC),100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Urology,100,110,30,45,County Change,65,70
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Cardiology,85,95,20,30,County Change,65,65
Kalawao,HI,"Kalawao, HI",CEAC,Metro,General Surgery,85,95,20,30,County Change,65,65
Alger,MI,"Alger, MI",CEAC,Rural,Inpatient Psychiatric Facility Services,140,155,75,90,County Change,65,65
Chariton,MO,"Chariton, MO",CEAC,Rural,Inpatient Psychiatric Facility Services,140,155,75,90,County Change,65,65
Campbell,WY,"Campbell, WY",CEAC,Rural,Inpatient Psychiatric Facility Services,140,155,75,90,County Change,65,65
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Ophthalmology,85,95,20,30,County Change,65,65
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Orthopedic Surgery,85,95,20,30,County Change,65,65
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Outpatient Dialysis,90,100,30,45,County Change,55,60
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Skilled Nursing Facilities,85,95,30,45,County Change,50,55
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Inpatient Psychiatric Facility Services,140,155,85,130,County Change,25,55
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Primary Care,60,70,10,15,County Change,55,50
Chariton,MO,"Chariton, MO",CEAC,Rural,Outpatient Dialysis,90,100,50,60,County Change,40,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Outpatient Dialysis,90,100,50,60,County Change,40,40
Alger,MI,"Alger, MI",CEAC,Rural,Acute Inpatient Hospitals,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Acute Inpatient Hospitals,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Acute Inpatient Hospitals,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Cardiothoracic Surgery,130,145,90,110,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Cardiothoracic Surgery,130,145,90,110,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Cardiothoracic Surgery,130,145,90,110,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Dermatology,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Dermatology,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Diagnostic Radiology,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Diagnostic Radiology,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Diagnostic Radiology,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Endocrinology,130,145,90,110,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Endocrinology,130,145,90,110,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Endocrinology,130,145,90,110,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Gastroenterology,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Gastroenterology,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Infectious Diseases,130,145,90,110,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Infectious Diseases,130,145,90,110,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Mammography,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Mammography,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Mammography,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Neurology,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Neurology,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Neurology,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Neurosurgery,130,145,90,110,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Neurosurgery,130,145,90,110,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Occupational Therapy,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Occupational Therapy,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Occupational Therapy,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,"Oncology - Medical, Surgical",100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,"Oncology - Medical, Surgical",100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Oncology - Radiation/ Radiation Oncology,130,145,90,110,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Oncology - Radiation/ Radiation Oncology,130,145,90,110,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Outpatient Infusion/Chemotherapy,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Outpatient Infusion/Chemotherapy,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Outpatient Infusion/Chemotherapy,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Physical Therapy,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Physical Therapy,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Physical Therapy,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Plastic Surgery,130,145,90,110,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Plastic Surgery,130,145,90,110,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Plastic Surgery,130,145,90,110,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Podiatry,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Podiatry,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Podiatry,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Psychiatry,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Psychiatry,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Psychiatry,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Pulmonology,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Pulmonology,100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Rheumatology,130,145,90,110,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Rheumatology,130,145,90,110,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Surgical Services (Outpatient or ASC),100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Surgical Services (Outpatient or ASC),100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Surgical Services (Outpatient or ASC),100,110,60,75,County Change,35,40
Alger,MI,"Alger, MI",CEAC,Rural,Urology,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Urology,100,110,60,75,County Change,35,40
Campbell,WY,"Campbell, WY",CEAC,Rural,Urology,100,110,60,75,County Change,35,40
Chariton,MO,"Chariton, MO",CEAC,Rural,Vascular Surgery,130,145,90,110,County Change,35,40
Jackson,IL,"Jackson, IL",Micro,Metro,Cardiothoracic Surgery,75,100,40,60,County Change,40,35
Jackson,IL,"Jackson, IL",Micro,Metro,Endocrinology,75,100,40,60,County Change,40,35
Jackson,IL,"Jackson, IL",Micro,Metro,Infectious Diseases,75,100,40,60,County Change,40,35
Jackson,IL,"Jackson, IL",Micro,Metro,Neurosurgery,75,100,40,60,County Change,40,35
Jackson,IL,"Jackson, IL",Micro,Metro,Oncology - Radiation/ Radiation Oncology,75,100,40,60,County Change,40,35
Jackson,IL,"Jackson, IL",Micro,Metro,Plastic Surgery,75,100,40,60,County Change,40,35
Jackson,IL,"Jackson, IL",Micro,Metro,Rheumatology,75,100,40,60,County Change,40,35
Jackson,IL,"Jackson, IL",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Christian,KY,"Christian, KY",Micro,Metro,Cardiothoracic Surgery,75,100,40,60,County Change,40,35
Christian,KY,"Christian, KY",Micro,Metro,Endocrinology,75,100,40,60,County Change,40,35
Christian,KY,"Christian, KY",Micro,Metro,Infectious Diseases,75,100,40,60,County Change,40,35
Christian,KY,"Christian, KY",Micro,Metro,Neurosurgery,75,100,40,60,County Change,40,35
Christian,KY,"Christian, KY",Micro,Metro,Oncology - Radiation/ Radiation Oncology,75,100,40,60,County Change,40,35
Christian,KY,"Christian, KY",Micro,Metro,Plastic Surgery,75,100,40,60,County Change,40,35
Christian,KY,"Christian, KY",Micro,Metro,Rheumatology,75,100,40,60,County Change,40,35
Christian,KY,"Christian, KY",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Rapides,LA,"Rapides, LA",Micro,Metro,Cardiothoracic Surgery,75,100,40,60,County Change,40,35
Rapides,LA,"Rapides, LA",Micro,Metro,Infectious Diseases,75,100,40,60,County Change,40,35
Rapides,LA,"Rapides, LA",Micro,Metro,Neurosurgery,75,100,40,60,County Change,40,35
Rapides,LA,"Rapides, LA",Micro,Metro,Oncology - Radiation/ Radiation Oncology,75,100,40,60,County Change,40,35
Rapides,LA,"Rapides, LA",Micro,Metro,Plastic Surgery,75,100,40,60,County Change,40,35
Rapides,LA,"Rapides, LA",Micro,Metro,Rheumatology,75,100,40,60,County Change,40,35
Alger,MI,"Alger, MI",CEAC,Rural,Allergy and Immunology,110,125,75,90,County Change,35,35
Chariton,MO,"Chariton, MO",CEAC,Rural,Allergy and Immunology,110,125,75,90,County Change,35,35
Alger,MI,"Alger, MI",CEAC,Rural,Chiropractor,110,125,75,90,County Change,35,35
Chariton,MO,"Chariton, MO",CEAC,Rural,Chiropractor,110,125,75,90,County Change,35,35
Campbell,WY,"Campbell, WY",CEAC,Rural,Chiropractor,110,125,75,90,County Change,35,35
